dataset_id,zone_id,municipality,province,candidate_distributor,candidate_confidence,proposed_import_action,score,match_method,source_file,source_url_1,source_url_2,source_url_3,evidence_summary,review_notes
andalucia,municipality:almeria::abla,Abla,Almería,"E-Distribución Redes Digitales, S.L.U.",manual_review_required,manual_review_only,100,zone_id,docs/research/distributor_regional_audits/edistribucion_local_exception_hunt_by_dataset/andalucia.csv,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,,,"candidate_distributor=e-distribución Redes Digitales, S.L.U. | candidate_confidence=regional_presence_candidate | source_name=e-distribución — distribución eléctrica | source_url=https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html | privacy_notes=No contiene identificadores de suministro, direcciones, coordenadas privadas ni inventario de infraestructura. | focused_notes=Buscar distribuidoras locales/municipales antes de convertir a regional_default productivo.",
andalucia,municipality:almeria::abrucena,Abrucena,Almería,"E-Distribución Redes Digitales, S.L.U.",manual_review_required,manual_review_only,100,zone_id,docs/research/distributor_regional_audits/edistribucion_local_exception_hunt_by_dataset/andalucia.csv,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,,,"candidate_distributor=e-distribución Redes Digitales, S.L.U. | candidate_confidence=regional_presence_candidate | source_name=e-distribución — distribución eléctrica | source_url=https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html | privacy_notes=No contiene identificadores de suministro, direcciones, coordenadas privadas ni inventario de infraestructura. | focused_notes=Buscar distribuidoras locales/municipales antes de convertir a regional_default productivo.",
andalucia,municipality:almeria::adra,Adra,Almería,"E-Distribución Redes Digitales, S.L.U.",manual_review_required,manual_review_only,100,zone_id,docs/research/distributor_regional_audits/edistribucion_local_exception_hunt_by_dataset/andalucia.csv,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,,,"candidate_distributor=e-distribución Redes Digitales, S.L.U. | candidate_confidence=regional_presence_candidate | source_name=e-distribución — distribución eléctrica | source_url=https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html | privacy_notes=No contiene identificadores de suministro, direcciones, coordenadas privadas ni inventario de infraestructura. | focused_notes=Buscar distribuidoras locales/municipales antes de convertir a regional_default productivo.",
andalucia,municipality:almeria::albanchez,Albanchez,Almería,"E-Distribución Redes Digitales, S.L.U.",manual_review_required,manual_review_only,100,zone_id,docs/research/distributor_regional_audits/edistribucion_local_exception_hunt_by_dataset/andalucia.csv,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,,,"candidate_distributor=e-distribución Redes Digitales, S.L.U. | candidate_confidence=regional_presence_candidate | source_name=e-distribución — distribución eléctrica | source_url=https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html | privacy_notes=No contiene identificadores de suministro, direcciones, coordenadas privadas ni inventario de infraestructura. | focused_notes=Buscar distribuidoras locales/municipales antes de convertir a regional_default productivo.",
andalucia,municipality:almeria::alboloduy,Alboloduy,Almería,"E-Distribución Redes Digitales, S.L.U.",manual_review_required,manual_review_only,100,zone_id,docs/research/distributor_regional_audits/edistribucion_local_exception_hunt_by_dataset/andalucia.csv,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,,,"candidate_distributor=e-distribución Redes Digitales, S.L.U. | candidate_confidence=regional_presence_candidate | source_name=e-distribución — distribución eléctrica | source_url=https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html | privacy_notes=No contiene identificadores de suministro, direcciones, coordenadas privadas ni inventario de infraestructura. | focused_notes=Buscar distribuidoras locales/municipales antes de convertir a regional_default productivo.",
andalucia,municipality:almeria::alcolea,Alcolea,Almería,"E-Distribución Redes Digitales, S.L.U.",manual_review_required,manual_review_only,100,zone_id,docs/research/distributor_regional_audits/edistribucion_local_exception_hunt_by_dataset/andalucia.csv,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,,,"candidate_distributor=e-distribución Redes Digitales, S.L.U. | candidate_confidence=regional_presence_candidate | source_name=e-distribución — distribución eléctrica | source_url=https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html | privacy_notes=No contiene identificadores de suministro, direcciones, coordenadas privadas ni inventario de infraestructura. | focused_notes=Buscar distribuidoras locales/municipales antes de convertir a regional_default productivo.",
andalucia,municipality:almeria::alcudia_de_monteagud,Alcudia de Monteagud,Almería,"E-Distribución Redes Digitales, S.L.U.",manual_review_required,manual_review_only,100,zone_id,docs/research/distributor_regional_audits/edistribucion_local_exception_hunt_by_dataset/andalucia.csv,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,,,"candidate_distributor=e-distribución Redes Digitales, S.L.U. | candidate_confidence=regional_presence_candidate | source_name=e-distribución — distribución eléctrica | source_url=https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html | privacy_notes=No contiene identificadores de suministro, direcciones, coordenadas privadas ni inventario de infraestructura. | focused_notes=Buscar distribuidoras locales/municipales antes de convertir a regional_default productivo.",
andalucia,municipality:almeria::alhabia,Alhabia,Almería,"E-Distribución Redes Digitales, S.L.U.",manual_review_required,manual_review_only,100,zone_id,docs/research/distributor_regional_audits/edistribucion_local_exception_hunt_by_dataset/andalucia.csv,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,,,"candidate_distributor=e-distribución Redes Digitales, S.L.U. | candidate_confidence=regional_presence_candidate | source_name=e-distribución — distribución eléctrica | source_url=https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html | privacy_notes=No contiene identificadores de suministro, direcciones, coordenadas privadas ni inventario de infraestructura. | focused_notes=Buscar distribuidoras locales/municipales antes de convertir a regional_default productivo.",
andalucia,municipality:almeria::alhama_de_almeria,Alhama de Almería,Almería,"E-Distribución Redes Digitales, S.L.U.",manual_review_required,manual_review_only,100,zone_id,docs/research/distributor_regional_audits/edistribucion_local_exception_hunt_by_dataset/andalucia.csv,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,,,"candidate_distributor=e-distribución Redes Digitales, S.L.U. | candidate_confidence=regional_presence_candidate | source_name=e-distribución — distribución eléctrica | source_url=https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html | privacy_notes=No contiene identificadores de suministro, direcciones, coordenadas privadas ni inventario de infraestructura. | focused_notes=Buscar distribuidoras locales/municipales antes de convertir a regional_default productivo.",
andalucia,municipality:almeria::alicun,Alicún,Almería,"E-Distribución Redes Digitales, S.L.U.",manual_review_required,manual_review_only,100,zone_id,docs/research/distributor_regional_audits/edistribucion_local_exception_hunt_by_dataset/andalucia.csv,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,,,"candidate_distributor=e-distribución Redes Digitales, S.L.U. | candidate_confidence=regional_presence_candidate | source_name=e-distribución — distribución eléctrica | source_url=https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html | privacy_notes=No contiene identificadores de suministro, direcciones, coordenadas privadas ni inventario de infraestructura. | focused_notes=Buscar distribuidoras locales/municipales antes de convertir a regional_default productivo.",
andalucia,municipality:almeria::almocita,Almócita,Almería,"E-Distribución Redes Digitales, S.L.U.",manual_review_required,manual_review_only,100,zone_id,docs/research/distributor_regional_audits/edistribucion_local_exception_hunt_by_dataset/andalucia.csv,https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html,,,"candidate_distributor=e-distribución Redes Digitales, S.L.U. | candidate_confidence=regional_presence_candidate | source_name=e-distribución — distribución eléctrica | source_url=https://www.edistribucion.com/es/conocenos/instalaciones-distribucion-red/distribucion-electrica.html | privacy_notes=No contiene identificadores de suministro, direcciones, coordenadas privadas ni inventario de infraestructura. | focused_notes=Buscar distribuidoras locales/municipales antes de convertir a regional_default productivo.",
