dataset_id,zone_id,municipality,province,research_wave,regional_context_candidate,candidate_distributor,evidence_class,source_ids,repo_evidence_hits,repo_evidence_files,review_status,import_eligible,review_notes
catalunya,municipality:barcelona::abrera,Abrera,Barcelona,wave_2,"E-Distribución Redes Digitales, S.L.U.",,regional_context_only,edistribucion_catalunya_official,0,,needs_municipal_primary_source,no,Presencia regional fuerte. Requiere confirmación municipal (DOGC o similar) para importar.
catalunya,municipality:barcelona::aguilar_de_segarra,Aguilar de Segarra,Barcelona,wave_2,"E-Distribución Redes Digitales, S.L.U.",,regional_context_only,edistribucion_catalunya_official,0,,needs_municipal_primary_source,no,Presencia regional fuerte. Requiere confirmación municipal (DOGC o similar) para importar.
catalunya,municipality:barcelona::aiguafreda,Aiguafreda,Barcelona,wave_2,"E-Distribución Redes Digitales, S.L.U.",,regional_context_only,edistribucion_catalunya_official,0,,needs_municipal_primary_source,no,Presencia regional fuerte. Requiere confirmación municipal (DOGC o similar) para importar.
catalunya,municipality:barcelona::alella,Alella,Barcelona,wave_2,"E-Distribución Redes Digitales, S.L.U.",,regional_context_only,edistribucion_catalunya_official,0,,needs_municipal_primary_source,no,Presencia regional fuerte. Requiere confirmación municipal (DOGC o similar) para importar.
catalunya,municipality:barcelona::alpens,Alpens,Barcelona,wave_2,"E-Distribución Redes Digitales, S.L.U.",,regional_context_only,edistribucion_catalunya_official,0,,needs_municipal_primary_source,no,Presencia regional fuerte. Requiere confirmación municipal (DOGC o similar) para importar.
catalunya,municipality:barcelona::arenys_de_mar,Arenys de Mar,Barcelona,wave_2,"E-Distribución Redes Digitales, S.L.U.",,regional_context_only,edistribucion_catalunya_official,0,,needs_municipal_primary_source,no,Presencia regional fuerte. Requiere confirmación municipal (DOGC o similar) para importar.
catalunya,municipality:barcelona::arenys_de_munt,Arenys de Munt,Barcelona,wave_2,"E-Distribución Redes Digitales, S.L.U.",,regional_context_only,edistribucion_catalunya_official,0,,needs_municipal_primary_source,no,Presencia regional fuerte. Requiere confirmación municipal (DOGC o similar) para importar.
catalunya,municipality:barcelona::argentona,Argentona,Barcelona,wave_2,"E-Distribución Redes Digitales, S.L.U.",,regional_context_only,edistribucion_catalunya_official,0,,needs_municipal_primary_source,no,Presencia regional fuerte. Requiere confirmación municipal (DOGC o similar) para importar.
catalunya,municipality:barcelona::argencola,Argençola,Barcelona,wave_2,"E-Distribución Redes Digitales, S.L.U.",,regional_context_only,edistribucion_catalunya_official,0,,needs_municipal_primary_source,no,Presencia regional fuerte. Requiere confirmación municipal (DOGC o similar) para importar.
catalunya,municipality:barcelona::artes,Artés,Barcelona,wave_2,"E-Distribución Redes Digitales, S.L.U.",,regional_context_only,edistribucion_catalunya_official,0,,needs_municipal_primary_source,no,Presencia regional fuerte. Requiere confirmación municipal (DOGC o similar) para importar.
catalunya,municipality:barcelona::avinyonet_del_penedes,Avinyonet del Penedès,Barcelona,wave_2,"E-Distribución Redes Digitales, S.L.U.",,regional_context_only,edistribucion_catalunya_official,0,,needs_municipal_primary_source,no,Presencia regional fuerte. Requiere confirmación municipal (DOGC o similar) para importar.
catalunya,municipality:barcelona::avinyo,Avinyó,Barcelona,wave_2,"E-Distribución Redes Digitales, S.L.U.",,regional_context_only,edistribucion_catalunya_official,0,,needs_municipal_primary_source,no,Presencia regional fuerte. Requiere confirmación municipal (DOGC o similar) para importar.
catalunya,municipality:barcelona::avia,Avià,Barcelona,wave_2,"E-Distribución Redes Digitales, S.L.U.",,regional_context_only,edistribucion_catalunya_official,0,,needs_municipal_primary_source,no,Presencia regional fuerte. Requiere confirmación municipal (DOGC o similar) para importar.
catalunya,municipality:barcelona::badalona,Badalona,Barcelona,wave_2,"E-Distribución Redes Digitales, S.L.U.",,regional_context_only,edistribucion_catalunya_official,0,,needs_municipal_primary_source,no,Presencia regional fuerte. Requiere confirmación municipal (DOGC o similar) para importar.
catalunya,municipality:barcelona::badia_del_valles,Badia del Vallès,Barcelona,wave_2,"E-Distribución Redes Digitales, S.L.U.",,regional_context_only,edistribucion_catalunya_official,0,,needs_municipal_primary_source,no,Presencia regional fuerte. Requiere confirmación municipal (DOGC o similar) para importar.
catalunya,municipality:barcelona::baga,Bagà,Barcelona,wave_2,"E-Distribución Redes Digitales, S.L.U.",,regional_context_only,edistribucion_catalunya_official,0,,needs_municipal_primary_source,no,Presencia regional fuerte. Requiere confirmación municipal (DOGC o similar) para importar.
catalunya,municipality:barcelona::balenya,Balenyà,Barcelona,wave_2,"E-Distribución Redes Digitales, S.L.U.",,regional_context_only,edistribucion_catalunya_official,0,,needs_municipal_primary_source,no,Presencia regional fuerte. Requiere confirmación municipal (DOGC o similar) para importar.
